method,k,inertia,silhouette_score,davies_bouldin_score,calinski_harabasz_score
kmeans,3,20665.57698301298,0.7272082950142525,0.5835915678384781,8938.870730707167
kmeans,4,14624.73690254909,0.7120526389631714,0.5439367566629179,9410.36628557051
kmeans,5,9680.544822376383,0.7455950096508223,0.308940815449974,11579.629252027318
kmeans,6,6836.047699607192,0.4416847853870462,0.5693003040954395,13715.219479114052
kmeans,7,5282.557819750597,0.4926563233608645,0.5288274820007101,15140.978353588354
kmeans,8,4111.6941532169785,0.5412435340075974,0.49546296533313944,16963.904048722572
