n_detections,mean_x,mean_y,std_x,std_y,bbox_area_norm_mean,bbox_area_norm_std,avg_pairwise_distance,min_pairwise_distance,max_pairwise_distance,top_lane_count,mid_lane_count,bot_lane_count,top_jungle_count,bot_jungle_count,river_count,baron_zone_count,dragon_zone_count,blue_base_count,red_base_count,lane_count_top,lane_count_mid,lane_count_bot,jungle_count,base_count,blue_side_count,red_side_count,center_count,lane_entropy,spread_score,grouping_score,image_id,image_width,image_height,label_file,cluster_label
1,0.082908,0.919643,0.0,0.0,0.005856993961,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00019,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00019.txt,1
1,0.083546,0.916454,0.0,0.0,0.006252256742,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00020,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00020.txt,1
1,0.082908,0.918367,0.0,0.0,0.00528431742,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00021,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00021.txt,1
1,0.081633,0.916454,0.0,0.0,0.00575608788,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00022,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00022.txt,1
1,0.08227,0.918367,0.0,0.0,0.005954570986,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00023,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00023.txt,1
1,0.082908,0.918367,0.0,0.0,0.005856993961,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00024,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00024.txt,1
1,0.083546,0.917092,0.0,0.0,0.005954570986,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00025,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00025.txt,1
1,0.08227,0.91773,0.0,0.0,0.006053773636,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00026,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00026.txt,1
1,0.08227,0.917092,0.0,0.0,0.006153054092,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00027,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00027.txt,1
1,0.082908,0.917092,0.0,0.0,0.006052224542,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00028,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00028.txt,1
1,0.08227,0.915816,0.0,0.0,0.00595131591,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00029,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00029.txt,1
1,0.084184,0.919643,0.0,0.0,0.006052224542,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00030,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00030.txt,1
1,0.083546,0.918367,0.0,0.0,0.005935045632,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00031,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00031.txt,1
1,0.08227,0.917092,0.0,0.0,0.005759340405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00032,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00032.txt,1
1,0.08227,0.919643,0.0,0.0,0.00595131591,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00033,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00033.txt,1
1,0.081633,0.920281,0.0,0.0,0.0055673649,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00034,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00034.txt,1
1,0.084184,0.917092,0.0,0.0,0.00566176338,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00035,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00035.txt,1
1,0.082908,0.915816,0.0,0.0,0.00566176338,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00036,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00036.txt,1
1,0.080357,0.918367,0.0,0.0,0.00566176338,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00037,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00037.txt,1
1,0.080995,0.919005,0.0,0.0,0.005663315025,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00038,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00038.txt,1
1,0.079719,0.919005,0.0,0.0,0.006053773636,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00039,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00039.txt,1
1,0.08227,0.918367,0.0,0.0,0.00595131591,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00040,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00040.txt,1
1,0.082908,0.919005,0.0,0.0,0.0063547922739999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00041,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00041.txt,1
1,0.080357,0.91773,0.0,0.0,0.0063547922739999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00042,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00042.txt,1
1,0.080357,0.91773,0.0,0.0,0.0063547922739999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00043,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00043.txt,1
1,0.081633,0.91773,0.0,0.0,0.006149801567,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00044,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00044.txt,1
1,0.082908,0.91773,0.0,0.0,0.005954570986,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00045,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00045.txt,1
1,0.080357,0.919005,0.0,0.0,0.006149801567,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00046,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00046.txt,1
1,0.080357,0.919005,0.0,0.0,0.0063547922739999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00047,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00047.txt,1
1,0.082908,0.915179,0.0,0.0,0.00575608788,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00048,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00048.txt,1
1,0.080357,0.920281,0.0,0.0,0.006149801567,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00049,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00049.txt,1
1,0.081633,0.91773,0.0,0.0,0.006153054092,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00050,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00050.txt,1
1,0.083546,0.918367,0.0,0.0,0.0067680287639999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00051,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00051.txt,1
1,0.081633,0.919005,0.0,0.0,0.00613353384,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00052,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00052.txt,1
1,0.083546,0.919643,0.0,0.0,0.005759340405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00053,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00053.txt,1
1,0.082908,0.91773,0.0,0.0,0.00537864192,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00054,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00054.txt,1
1,0.08227,0.918367,0.0,0.0,0.00518991894,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00055,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00055.txt,1
