cluster_label,n_detections,mean_x,mean_y,std_x,std_y,bbox_area_norm_mean,bbox_area_norm_std,avg_pairwise_distance,min_pairwise_distance,max_pairwise_distance,top_lane_count,mid_lane_count,bot_lane_count,top_jungle_count,bot_jungle_count,river_count,baron_zone_count,dragon_zone_count,blue_base_count,red_base_count,lane_count_top,lane_count_mid,lane_count_bot,jungle_count,base_count,blue_side_count,red_side_count,center_count,lane_entropy,spread_score,grouping_score,image_width,image_height
0,0.0,0.32424266251990186,-0.4600360307319999,0.0,0.0,0.17452570738529644,0.0,0.0,0.0,0.0,0.0,0.0,-0.3425177889602083,0.0,0.0,0.4877009083043008,0.0,0.0,-0.3192622349349296,0.0,0.0,0.0,-0.3425177889602083,0.0,-0.3192622349349296,0.0,-0.32084447395987575,0.32084447395987575,0.0,0.0,0.0,0.0,0.0
1,0.0,-2.308531183702912,1.9980617860131626,0.0,0.0,-0.9521124199938603,0.0,0.0,0.0,0.0,0.0,0.0,-0.3425177889602083,0.0,0.0,-1.984507899943528,0.0,0.0,3.1322213859832497,0.0,0.0,0.0,-0.3425177889602083,0.0,3.1322213859832497,0.0,-0.196966298685791,0.196966298685791,0.0,0.0,0.0,0.0,0.0
2,0.0,-0.4206168223150058,2.2173703768764392,0.0,0.0,-0.7934160765160578,0.0,0.0,0.0,0.0,0.0,0.0,2.919556391613202,0.0,0.0,-1.9845078999435315,0.0,0.0,-0.31926223493493194,0.0,0.0,0.0,2.919556391613202,0.0,-0.31926223493493194,0.0,3.1167748898959116,-3.1167748898959116,0.0,0.0,0.0,0.0,0.0
3,0.0,-1.3413185089718085,0.9906281681236733,0.0,0.0,-0.28973506735698,0.0,0.0,0.0,0.0,0.0,0.0,2.919556391613209,0.0,0.0,-1.9845078999435277,0.0,0.0,-0.31926223493493155,0.0,0.0,0.0,2.919556391613209,0.0,-0.31926223493493155,0.0,-0.32084447395987375,0.32084447395987375,0.0,0.0,0.0,0.0,0.0
4,0.0,1.571971514378418,-0.10263040948349823,0.0,0.0,0.35808300867050596,0.0,0.0,0.0,0.0,0.0,0.0,-0.34251778896020835,0.0,0.0,0.5039032598602688,0.0,0.0,-0.3192622349349317,0.0,0.0,0.0,-0.34251778896020835,0.0,-0.3192622349349317,0.0,3.1167748898959156,-3.1167748898959156,0.0,0.0,0.0,0.0,0.0
