cluster_label,n_detections,mean_x,mean_y,std_x,std_y,bbox_area_norm_mean,bbox_area_norm_std,avg_pairwise_distance,min_pairwise_distance,max_pairwise_distance,top_lane_count,mid_lane_count,bot_lane_count,top_jungle_count,bot_jungle_count,river_count,baron_zone_count,dragon_zone_count,blue_base_count,red_base_count,lane_count_top,lane_count_mid,lane_count_bot,jungle_count,base_count,blue_side_count,red_side_count,center_count,lane_entropy,spread_score,grouping_score,image_width,image_height
0,0.0,0.32424266251990225,-0.46003603073199995,0.0,0.0,0.17452570738529505,0.0,0.0,0.0,0.0,0.0,0.0,-0.342517788960208,0.0,0.0,0.4877009083043001,0.0,0.0,-0.31926223493492406,0.0,0.0,0.0,-0.342517788960208,0.0,-0.31926223493492406,0.0,-0.32084447395987836,0.32084447395987836,0.0,0.0,0.0,0.0,0.0
1,0.0,-2.3085311837029128,1.998061786013163,0.0,0.0,-0.9521124199938605,0.0,0.0,0.0,0.0,0.0,0.0,-0.3425177889602081,0.0,0.0,-1.9845078999435315,0.0,0.0,3.132221385983256,0.0,0.0,0.0,-0.3425177889602081,0.0,3.132221385983256,0.0,-0.19696629868579166,0.19696629868579166,0.0,0.0,0.0,0.0,0.0
2,0.0,-0.42061682231500563,2.2173703768764392,0.0,0.0,-0.7934160765160382,0.0,0.0,0.0,0.0,0.0,0.0,2.9195563916132024,0.0,0.0,-1.984507899943531,0.0,0.0,-0.3192622349349305,0.0,0.0,0.0,2.9195563916132024,0.0,-0.3192622349349305,0.0,3.116774889895913,-3.116774889895913,0.0,0.0,0.0,0.0,0.0
3,0.0,-1.3413185089718076,0.9906281681236734,0.0,0.0,-0.2897350673569784,0.0,0.0,0.0,0.0,0.0,0.0,2.9195563916132063,0.0,0.0,-1.9845078999435308,0.0,0.0,-0.31926223493493067,0.0,0.0,0.0,2.9195563916132063,0.0,-0.31926223493493067,0.0,-0.3208444739598745,0.3208444739598745,0.0,0.0,0.0,0.0,0.0
4,0.0,1.5719715143784179,-0.10263040948349819,0.0,0.0,0.35808300867049897,0.0,0.0,0.0,0.0,0.0,0.0,-0.3425177889602082,0.0,0.0,0.5039032598602696,0.0,0.0,-0.31926223493493083,0.0,0.0,0.0,-0.3425177889602082,0.0,-0.31926223493493083,0.0,3.1167748898959147,-3.1167748898959147,0.0,0.0,0.0,0.0,0.0
