cluster_id,size,pct,top_features,representative_samples,macro_notes,draft_label,draft_description,manual_label,manual_description,review_status
0,5529.0,76.79,river_count (0.4877); mean_x (0.3242); center_count (0.3208); bbox_area_norm_mean (0.1745); n_detections (0.0000); avg_pairwise_distance (0.0000); bbox_area_norm_std (0.0000); min_pairwise_distance (0.0000),image_id=white_noised_irelia_1_00194 | rank_in_cluster=1 | distance_to_centroid=509.1210086983023 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_irelia_1_00194.txt || image_id=irelia_1_00194 | rank_in_cluster=2 | distance_to_centroid=509.1210086983023 | label_file=G:\LOL ML project\mid_dataset\labels\irelia_1_00194.txt || image_id=coloured_noised_irelia_1_00194 | rank_in_cluster=3 | distance_to_centroid=509.1210086983023 | label_file=G:\LOL ML project\mid_dataset\labels\coloured_noised_irelia_1_00194.txt || image_id=white_noised_yorick_1_00233 | rank_in_cluster=4 | distance_to_centroid=509.1210104893401 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_yorick_1_00233.txt || image_id=yorick_1_00233 | rank_in_cluster=5 | distance_to_centroid=509.1210104893401 | label_file=G:\LOL ML project\mid_dataset\labels\yorick_1_00233.txt,,Cluster pattern review,"This cluster appears distinct but should be manually named from its feature profile, representative samples, and qualitative notes.",,,needs_review
1,666.0,9.25,base_count (3.1322); blue_base_count (3.1322); mean_y (1.9981); center_count (0.1970); n_detections (0.0000); min_pairwise_distance (0.0000); std_x (0.0000); std_y (0.0000),image_id=coloured_noised_diana_1_00039 | rank_in_cluster=1 | distance_to_centroid=509.14019237175177 | label_file=G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00039.txt || image_id=white_noised_diana_1_00039 | rank_in_cluster=2 | distance_to_centroid=509.14019237175177 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00039.txt || image_id=diana_1_00039 | rank_in_cluster=3 | distance_to_centroid=509.14019237175177 | label_file=G:\LOL ML project\mid_dataset\labels\diana_1_00039.txt || image_id=white_noised_diana_1_00049 | rank_in_cluster=4 | distance_to_centroid=509.14019284286 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00049.txt || image_id=diana_1_00049 | rank_in_cluster=5 | distance_to_centroid=509.14019284286 | label_file=G:\LOL ML project\mid_dataset\labels\diana_1_00049.txt,,Cluster pattern review,"This cluster appears distinct but should be manually named from its feature profile, representative samples, and qualitative notes.",,,needs_review
2,399.0,5.54,red_side_count (3.1168); lane_count_bot (2.9196); bot_lane_count (2.9196); mean_y (2.2174); n_detections (0.0000); min_pairwise_distance (0.0000); avg_pairwise_distance (0.0000); std_y (0.0000),image_id=coloured_noised_diana_1_00107 | rank_in_cluster=1 | distance_to_centroid=509.1469290954109 | label_file=G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00107.txt || image_id=white_noised_diana_1_00107 | rank_in_cluster=2 | distance_to_centroid=509.1469290954109 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00107.txt || image_id=diana_1_00107 | rank_in_cluster=3 | distance_to_centroid=509.1469290954109 | label_file=G:\LOL ML project\mid_dataset\labels\diana_1_00107.txt || image_id=white_noised_diana_1_00108 | rank_in_cluster=4 | distance_to_centroid=509.1469338277848 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00108.txt || image_id=diana_1_00108 | rank_in_cluster=5 | distance_to_centroid=509.1469338277848 | label_file=G:\LOL ML project\mid_dataset\labels\diana_1_00108.txt,,Cluster pattern review,"This cluster appears distinct but should be manually named from its feature profile, representative samples, and qualitative notes.",,,needs_review
3,357.0,4.96,bot_lane_count (2.9196); lane_count_bot (2.9196); mean_y (0.9906); center_count (0.3208); n_detections (0.0000); min_pairwise_distance (0.0000); avg_pairwise_distance (0.0000); std_y (0.0000),image_id=vladimir_1_00015 | rank_in_cluster=1 | distance_to_centroid=509.13329528451 | label_file=G:\LOL ML project\mid_dataset\labels\vladimir_1_00015.txt || image_id=white_noised_vladimir_1_00015 | rank_in_cluster=2 | distance_to_centroid=509.13329528451 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_vladimir_1_00015.txt || image_id=coloured_noised_vladimir_1_00015 | rank_in_cluster=3 | distance_to_centroid=509.13329528451 | label_file=G:\LOL ML project\mid_dataset\labels\coloured_noised_vladimir_1_00015.txt || image_id=white_noised_ryze_1_00056 | rank_in_cluster=4 | distance_to_centroid=509.1332957413668 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_ryze_1_00056.txt || image_id=ryze_1_00056 | rank_in_cluster=5 | distance_to_centroid=509.1332957413668 | label_file=G:\LOL ML project\mid_dataset\labels\ryze_1_00056.txt,,Cluster pattern review,"This cluster appears distinct but should be manually named from its feature profile, representative samples, and qualitative notes.",,,needs_review
4,249.0,3.46,red_side_count (3.1168); mean_x (1.5720); river_count (0.5039); bbox_area_norm_mean (0.3581); n_detections (0.0000); avg_pairwise_distance (0.0000); bbox_area_norm_std (0.0000); min_pairwise_distance (0.0000),image_id=coloured_noised_ekko_1_00217 | rank_in_cluster=1 | distance_to_centroid=509.1348851410789 | label_file=G:\LOL ML project\mid_dataset\labels\coloured_noised_ekko_1_00217.txt || image_id=ekko_1_00217 | rank_in_cluster=2 | distance_to_centroid=509.1348851410789 | label_file=G:\LOL ML project\mid_dataset\labels\ekko_1_00217.txt || image_id=white_noised_ekko_1_00217 | rank_in_cluster=3 | distance_to_centroid=509.1348851410789 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_ekko_1_00217.txt || image_id=ekko_1_00216 | rank_in_cluster=4 | distance_to_centroid=509.1348869964288 | label_file=G:\LOL ML project\mid_dataset\labels\ekko_1_00216.txt || image_id=white_noised_ekko_1_00216 | rank_in_cluster=5 | distance_to_centroid=509.1348869964288 | label_file=G:\LOL ML project\mid_dataset\labels\white_noised_ekko_1_00216.txt,,Cluster pattern review,"This cluster appears distinct but should be manually named from its feature profile, representative samples, and qualitative notes.",,,needs_review
